Rank,Major,Degree Type,Early Career Pay,Mid-Career Median Salary,High Meaning
1,Petroleum Engineering,Bachelors,97500.0,212500.0,61%
2,Operations Research & Industrial Engineering,Bachelors,98300.0,191800.0,21%
3,Interaction Design,Bachelors,74700.0,173600.0,54%
4,Applied Economics and Management,Bachelors,76500.0,164400.0,54%
5,Building Science,Bachelors,69000.0,163100.0,47%
6,Actuarial Mathematics,Bachelors,70700.0,160000.0,52%
6,Operations Research,Bachelors,92200.0,160000.0,57%
8,Systems Engineering,Bachelors,87000.0,159100.0,58%
9,Optical Science & Engineering,Bachelors,79600.0,158300.0,73%
10,Information & Computer Science,Bachelors,76000.0,157800.0,63%
11,Aeronautics & Astronautics,Bachelors,88200.0,156900.0,56%
12,Aerospace Studies,Bachelors,62600.0,154300.0,-
13,Pharmacy,Bachelors,69400.0,154000.0,79%
14,Cognitive Science,Bachelors,78000.0,153800.0,43%
15,Managerial Economics,Bachelors,74700.0,153300.0,38%
16,Quantitative Economics,Bachelors,74500.0,152700.0,43%
17,Econometrics,Bachelors,72000.0,152100.0,35%
18,Foreign Affairs,Bachelors,62900.0,152000.0,32%
19,Chemical Engineering,Bachelors,85600.0,151800.0,55%
20,Public Accounting,Bachelors,69700.0,151200.0,47%
21,Political Economy,Bachelors,73100.0,150600.0,31%
22,Corporate Accounting & Finance,Bachelors,76800.0,149600.0,50%
23,Actuarial Science,Bachelors,76700.0,149000.0,42%
24,Computer Engineering (CE),Bachelors,89100.0,148500.0,46%
25,Electrical Power Engineering,Bachelors,84700.0,148300.0,72%
26,Computer Science (CS) & Engineering,Bachelors,90500.0,148200.0,44%
27,Marine Transportation Management,Bachelors,78700.0,148000.0,-
28,Marine Engineering,Bachelors,87900.0,147500.0,57%
28,Operations & Information Systems Management,Bachelors,78800.0,147500.0,24%
30,Electrical & Computer Engineering (ECE),Bachelors,88100.0,147000.0,49%
31,Entrepreneurship & Marketing,Bachelors,63200.0,145800.0,45%
32,Astronomy,Bachelors,75300.0,145600.0,52%
33,Mechatronics,Bachelors,80900.0,144300.0,46%
